model,url,num_classes,input_size,pool_size,crop_pct,interpolation,mean,std,first_conv,classifier,has_aux,label_offset,architecture,min_input_size,fixed_input_size,test_input_size,hf_hub
regnetx_320,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-regnet/regnetx_320-8ea38b93.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.conv,head.fc,,,regnetx_320,,,,
regnety_002,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-regnet/regnety_002-e68ca334.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.conv,head.fc,,,regnety_002,,,,
regnety_004,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-regnet/regnety_004-0db870e6.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.conv,head.fc,,,regnety_004,,,,
regnety_006,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-regnet/regnety_006-c67e57ec.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.conv,head.fc,,,regnety_006,,,,
regnety_008,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-regnet/regnety_008-dc900dbe.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.conv,head.fc,,,regnety_008,,,,
regnety_016,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-regnet/regnety_016-54367f74.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.conv,head.fc,,,regnety_016,,,,
regnety_032,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-weights/regnety_032_ra-7f2439f9.pth,1000,"(3, 224, 224)","(7, 7)",1.0,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.conv,head.fc,,,regnety_032,,,"(3, 288, 288)",
regnety_040,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-regnet/regnety_040-f0d569f9.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.conv,head.fc,,,regnety_040,,,,
regnety_064,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-regnet/regnety_064-0a48325c.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.conv,head.fc,,,regnety_064,,,,
regnety_080,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-regnet/regnety_080-e7f3eb93.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.conv,head.fc,,,regnety_080,,,,
regnety_120,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-regnet/regnety_120-721ba79a.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.conv,head.fc,,,regnety_120,,,,
regnety_160,https://dl.fbaipublicfiles.com/deit/regnety_160-a5fe301d.pth,1000,"(3, 224, 224)","(7, 7)",1.0,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.conv,head.fc,,,regnety_160,,,"(3, 288, 288)",
regnety_320,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-regnet/regnety_320-ba464b29.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.conv,head.fc,,,regnety_320,,,,
repvgg_a2,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-repvgg-weights/repvgg_a2-c1ee6d2b.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bilinear,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)","('stem.conv_kxk.conv', 'stem.conv_1x1.conv')",head.fc,,,repvgg_a2,,,,
repvgg_b0,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-repvgg-weights/repvgg_b0-80ac3f1b.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bilinear,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)","('stem.conv_kxk.conv', 'stem.conv_1x1.conv')",head.fc,,,repvgg_b0,,,,
repvgg_b1,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-repvgg-weights/repvgg_b1-77ca2989.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bilinear,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)","('stem.conv_kxk.conv', 'stem.conv_1x1.conv')",head.fc,,,repvgg_b1,,,,
repvgg_b1g4,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-repvgg-weights/repvgg_b1g4-abde5d92.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bilinear,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)","('stem.conv_kxk.conv', 'stem.conv_1x1.conv')",head.fc,,,repvgg_b1g4,,,,
repvgg_b2,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-repvgg-weights/repvgg_b2-25b7494e.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bilinear,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)","('stem.conv_kxk.conv', 'stem.conv_1x1.conv')",head.fc,,,repvgg_b2,,,,
repvgg_b2g4,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-repvgg-weights/repvgg_b2g4-165a85f2.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bilinear,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)","('stem.conv_kxk.conv', 'stem.conv_1x1.conv')",head.fc,,,repvgg_b2g4,,,,
repvgg_b3,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-repvgg-weights/repvgg_b3-199bc50d.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bilinear,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)","('stem.conv_kxk.conv', 'stem.conv_1x1.conv')",head.fc,,,repvgg_b3,,,,
repvgg_b3g4,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-repvgg-weights/repvgg_b3g4-73c370bf.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bilinear,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)","('stem.conv_kxk.conv', 'stem.conv_1x1.conv')",head.fc,,,repvgg_b3g4,,,,
res2net50_14w_8s,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-res2net/res2net50_14w_8s-6527dddc.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bilinear,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv1,fc,,,res2net50_14w_8s,,,,
res2net50_26w_4s,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-res2net/res2net50_26w_4s-06e79181.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bilinear,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv1,fc,,,res2net50_26w_4s,,,,
res2net50_26w_6s,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-res2net/res2net50_26w_6s-19041792.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bilinear,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv1,fc,,,res2net50_26w_6s,,,,
res2net50_26w_8s,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-res2net/res2net50_26w_8s-2c7c9f12.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bilinear,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv1,fc,,,res2net50_26w_8s,,,,
res2net50_48w_2s,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-res2net/res2net50_48w_2s-afed724a.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bilinear,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv1,fc,,,res2net50_48w_2s,,,,
res2net101_26w_4s,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-res2net/res2net101_26w_4s-02a759a1.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bilinear,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv1,fc,,,res2net101_26w_4s,,,,
res2next50,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-res2net/res2next50_4s-6ef7e7bf.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bilinear,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv1,fc,,,res2next50,,,,
resmlp_12_224,https://dl.fbaipublicfiles.com/deit/resmlp_12_no_dist.pth,1000,"(3, 224, 224)",,0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.proj,head,,,resmlp_12_224,,True,,
resmlp_12_distilled_224,https://dl.fbaipublicfiles.com/deit/resmlp_12_dist.pth,1000,"(3, 224, 224)",,0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.proj,head,,,resmlp_12_distilled_224,,True,,
resmlp_24_224,https://dl.fbaipublicfiles.com/deit/resmlp_24_no_dist.pth,1000,"(3, 224, 224)",,0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.proj,head,,,resmlp_24_224,,True,,
resmlp_24_distilled_224,https://dl.fbaipublicfiles.com/deit/resmlp_24_dist.pth,1000,"(3, 224, 224)",,0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.proj,head,,,resmlp_24_distilled_224,,True,,
resmlp_36_224,https://dl.fbaipublicfiles.com/deit/resmlp_36_no_dist.pth,1000,"(3, 224, 224)",,0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.proj,head,,,resmlp_36_224,,True,,
resmlp_36_distilled_224,https://dl.fbaipublicfiles.com/deit/resmlp_36_dist.pth,1000,"(3, 224, 224)",,0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.proj,head,,,resmlp_36_distilled_224,,True,,
resmlp_big_24_224,https://dl.fbaipublicfiles.com/deit/resmlpB_24_no_dist.pth,1000,"(3, 224, 224)",,0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.proj,head,,,resmlp_big_24_224,,True,,
resmlp_big_24_224_in22ft1k,https://dl.fbaipublicfiles.com/deit/resmlpB_24_22k.pth,1000,"(3, 224, 224)",,0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.proj,head,,,resmlp_big_24_224_in22ft1k,,True,,
resmlp_big_24_distilled_224,https://dl.fbaipublicfiles.com/deit/resmlpB_24_dist.pth,1000,"(3, 224, 224)",,0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.proj,head,,,resmlp_big_24_distilled_224,,True,,
resnest14d,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-weights/gluon_resnest14-9c8fe254.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bilinear,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv1.0,fc,,,resnest14d,,,,
resnest26d,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-weights/gluon_resnest26-50eb607c.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bilinear,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv1.0,fc,,,resnest26d,,,,
resnest50d,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-resnest/resnest50-528c19ca.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bilinear,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv1.0,fc,,,resnest50d,,,,
resnest50d_1s4x24d,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-resnest/resnest50_fast_1s4x24d-d4a4f76f.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv1.0,fc,,,resnest50d_1s4x24d,,,,
resnest50d_4s2x40d,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-resnest/resnest50_fast_4s2x40d-41d14ed0.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv1.0,fc,,,resnest50d_4s2x40d,,,,
resnest101e,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-resnest/resnest101-22405ba7.pth,1000,"(3, 256, 256)","(8, 8)",0.875,bilinear,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv1.0,fc,,,resnest101e,,,,
resnest200e,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-resnest/resnest200-75117900.pth,1000,"(3, 320, 320)","(10, 10)",0.909,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv1.0,fc,,,resnest200e,,,,
resnest269e,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-resnest/resnest269-0cc87c48.pth,1000,"(3, 416, 416)","(13, 13)",0.928,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv1.0,fc,,,resnest269e,,,,
resnet18,https://download.pytorch.org/models/resnet18-5c106cde.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bilinear,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv1,fc,,,resnet18,,,,
resnet18d,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-weights/resnet18d_ra2-48a79e06.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv1.0,fc,,,resnet18d,,,,
resnet26,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-weights/resnet26-9aa10e23.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv1,fc,,,resnet26,,,,
resnet26d,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-weights/resnet26d-69e92c46.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv1.0,fc,,,resnet26d,,,,
resnet26t,,1000,"(3, 256, 256)","(8, 8)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv1.0,fc,,,resnet26t,,,,
resnet34,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-weights/resnet34-43635321.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bilinear,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv1,fc,,,resnet34,,,,
resnet34d,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-weights/resnet34d_ra2-f8dcfcaf.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv1.0,fc,,,resnet34d,,,,
resnet50,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-weights/resnet50_ram-a26f946b.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv1,fc,,,resnet50,,,,
resnet50d,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-weights/resnet50d_ra2-464e36ba.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv1.0,fc,,,resnet50d,,,,
resnet50t,,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv1.0,fc,,,resnet50t,,,,
resnet51q,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-weights/resnet51q_ra2-d47dcc76.pth,1000,"(3, 256, 256)","(8, 8)",1.0,bilinear,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.conv1,head.fc,,,resnet51q,,,"(3, 288, 288)",
resnet61q,,1000,"(3, 256, 256)","(8, 8)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.conv1.conv,head.fc,,,resnet61q,,,,
resnet101,,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv1,fc,,,resnet101,,,,
resnet101d,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-weights/resnet101d_ra2-2803ffab.pth,1000,"(3, 256, 256)","(8, 8)",1.0,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv1.0,fc,,,resnet101d,,,"(3, 320, 320)",
resnet152,,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv1,fc,,,resnet152,,,,
resnet152d,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-weights/resnet152d_ra2-5cac0439.pth,1000,"(3, 256, 256)","(8, 8)",1.0,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv1.0,fc,,,resnet152d,,,"(3, 320, 320)",
resnet200,,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv1,fc,,,resnet200,,,,
resnet200d,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-weights/resnet200d_ra2-bdba9bf9.pth,1000,"(3, 256, 256)","(8, 8)",1.0,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv1.0,fc,,,resnet200d,,,"(3, 320, 320)",
resnetblur18,,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv1,fc,,,resnetblur18,,,,
resnetblur50,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-weights/resnetblur50-84f4748f.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv1,fc,,,resnetblur50,,,,
resnetrs50,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-rs-weights/resnetrs50_ema-6b53758b.pth,1000,"(3, 160, 160)","(5, 5)",0.91,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv1.0,fc,,,resnetrs50,,,"(3, 224, 224)",
resnetrs101,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-rs-weights/resnetrs101_i192_ema-1509bbf6.pth,1000,"(3, 192, 192)","(6, 6)",0.94,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv1.0,fc,,,resnetrs101,,,"(3, 288, 288)",
resnetrs152,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-rs-weights/resnetrs152_i256_ema-a9aff7f9.pth,1000,"(3, 256, 256)","(8, 8)",1.0,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv1.0,fc,,,resnetrs152,,,"(3, 320, 320)",
resnetrs200,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-rs-weights/resnetrs200_ema-623d2f59.pth,1000,"(3, 256, 256)","(8, 8)",1.0,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv1.0,fc,,,resnetrs200,,,"(3, 320, 320)",
resnetrs270,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-rs-weights/resnetrs270_ema-b40e674c.pth,1000,"(3, 256, 256)","(8, 8)",1.0,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv1.0,fc,,,resnetrs270,,,"(3, 352, 352)",
resnetrs350,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-rs-weights/resnetrs350_i256_ema-5a1aa8f1.pth,1000,"(3, 288, 288)","(9, 9)",1.0,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv1.0,fc,,,resnetrs350,,,"(3, 384, 384)",
resnetrs420,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-rs-weights/resnetrs420_ema-972dee69.pth,1000,"(3, 320, 320)","(10, 10)",1.0,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv1.0,fc,,,resnetrs420,,,"(3, 416, 416)",
resnetv2_50,,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.5, 0.5, 0.5)","(0.5, 0.5, 0.5)",stem.conv,head.fc,,,resnetv2_50,,,,
resnetv2_50d,,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.5, 0.5, 0.5)","(0.5, 0.5, 0.5)",stem.conv1,head.fc,,,resnetv2_50d,,,,
resnetv2_50t,,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.5, 0.5, 0.5)","(0.5, 0.5, 0.5)",stem.conv1,head.fc,,,resnetv2_50t,,,,
resnetv2_50x1_bit_distilled,https://storage.googleapis.com/bit_models/distill/R50x1_224.npz,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.5, 0.5, 0.5)","(0.5, 0.5, 0.5)",stem.conv,head.fc,,,resnetv2_50x1_bit_distilled,,,,
resnetv2_50x1_bitm,https://storage.googleapis.com/bit_models/BiT-M-R50x1-ILSVRC2012.npz,1000,"(3, 448, 448)","(14, 14)",1.0,bilinear,"(0.5, 0.5, 0.5)","(0.5, 0.5, 0.5)",stem.conv,head.fc,,,resnetv2_50x1_bitm,,,,
resnetv2_50x1_bitm_in21k,https://storage.googleapis.com/bit_models/BiT-M-R50x1.npz,21843,"(3, 224, 224)","(7, 7)",0.875,bilinear,"(0.5, 0.5, 0.5)","(0.5, 0.5, 0.5)",stem.conv,head.fc,,,resnetv2_50x1_bitm_in21k,,,,
resnetv2_50x3_bitm,https://storage.googleapis.com/bit_models/BiT-M-R50x3-ILSVRC2012.npz,1000,"(3, 448, 448)","(14, 14)",1.0,bilinear,"(0.5, 0.5, 0.5)","(0.5, 0.5, 0.5)",stem.conv,head.fc,,,resnetv2_50x3_bitm,,,,
resnetv2_50x3_bitm_in21k,https://storage.googleapis.com/bit_models/BiT-M-R50x3.npz,21843,"(3, 224, 224)","(7, 7)",0.875,bilinear,"(0.5, 0.5, 0.5)","(0.5, 0.5, 0.5)",stem.conv,head.fc,,,resnetv2_50x3_bitm_in21k,,,,
resnetv2_101,,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.5, 0.5, 0.5)","(0.5, 0.5, 0.5)",stem.conv,head.fc,,,resnetv2_101,,,,
resnetv2_101d,,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.5, 0.5, 0.5)","(0.5, 0.5, 0.5)",stem.conv1,head.fc,,,resnetv2_101d,,,,
resnetv2_101x1_bitm,https://storage.googleapis.com/bit_models/BiT-M-R101x1-ILSVRC2012.npz,1000,"(3, 448, 448)","(14, 14)",1.0,bilinear,"(0.5, 0.5, 0.5)","(0.5, 0.5, 0.5)",stem.conv,head.fc,,,resnetv2_101x1_bitm,,,,
resnetv2_101x1_bitm_in21k,https://storage.googleapis.com/bit_models/BiT-M-R101x1.npz,21843,"(3, 224, 224)","(7, 7)",0.875,bilinear,"(0.5, 0.5, 0.5)","(0.5, 0.5, 0.5)",stem.conv,head.fc,,,resnetv2_101x1_bitm_in21k,,,,
resnetv2_101x3_bitm,https://storage.googleapis.com/bit_models/BiT-M-R101x3-ILSVRC2012.npz,1000,"(3, 448, 448)","(14, 14)",1.0,bilinear,"(0.5, 0.5, 0.5)","(0.5, 0.5, 0.5)",stem.conv,head.fc,,,resnetv2_101x3_bitm,,,,
resnetv2_101x3_bitm_in21k,https://storage.googleapis.com/bit_models/BiT-M-R101x3.npz,21843,"(3, 224, 224)","(7, 7)",0.875,bilinear,"(0.5, 0.5, 0.5)","(0.5, 0.5, 0.5)",stem.conv,head.fc,,,resnetv2_101x3_bitm_in21k,,,,
resnetv2_152,,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.5, 0.5, 0.5)","(0.5, 0.5, 0.5)",stem.conv,head.fc,,,resnetv2_152,,,,
resnetv2_152d,,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.5, 0.5, 0.5)","(0.5, 0.5, 0.5)",stem.conv1,head.fc,,,resnetv2_152d,,,,
resnetv2_152x2_bit_teacher,https://storage.googleapis.com/bit_models/distill/R152x2_T_224.npz,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.5, 0.5, 0.5)","(0.5, 0.5, 0.5)",stem.conv,head.fc,,,resnetv2_152x2_bit_teacher,,,,
resnetv2_152x2_bit_teacher_384,https://storage.googleapis.com/bit_models/distill/R152x2_T_384.npz,1000,"(3, 384, 384)","(12, 12)",1.0,bicubic,"(0.5, 0.5, 0.5)","(0.5, 0.5, 0.5)",stem.conv,head.fc,,,resnetv2_152x2_bit_teacher_384,,,,
resnetv2_152x2_bitm,https://storage.googleapis.com/bit_models/BiT-M-R152x2-ILSVRC2012.npz,1000,"(3, 448, 448)","(14, 14)",1.0,bilinear,"(0.5, 0.5, 0.5)","(0.5, 0.5, 0.5)",stem.conv,head.fc,,,resnetv2_152x2_bitm,,,,
resnetv2_152x2_bitm_in21k,https://storage.googleapis.com/bit_models/BiT-M-R152x2.npz,21843,"(3, 224, 224)","(7, 7)",0.875,bilinear,"(0.5, 0.5, 0.5)","(0.5, 0.5, 0.5)",stem.conv,head.fc,,,resnetv2_152x2_bitm_in21k,,,,
resnetv2_152x4_bitm,https://storage.googleapis.com/bit_models/BiT-M-R152x4-ILSVRC2012.npz,1000,"(3, 480, 480)","(15, 15)",1.0,bilinear,"(0.5, 0.5, 0.5)","(0.5, 0.5, 0.5)",stem.conv,head.fc,,,resnetv2_152x4_bitm,,,,
resnetv2_152x4_bitm_in21k,https://storage.googleapis.com/bit_models/BiT-M-R152x4.npz,21843,"(3, 224, 224)","(7, 7)",0.875,bilinear,"(0.5, 0.5, 0.5)","(0.5, 0.5, 0.5)",stem.conv,head.fc,,,resnetv2_152x4_bitm_in21k,,,,
resnext50_32x4d,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-weights/resnext50_32x4d_ra-d733960d.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv1,fc,,,resnext50_32x4d,,,,
resnext50d_32x4d,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-weights/resnext50d_32x4d-103e99f8.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv1.0,fc,,,resnext50d_32x4d,,,,
resnext101_32x4d,,1000,"(3, 224, 224)","(7, 7)",0.875,bilinear,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv1,fc,,,resnext101_32x4d,,,,
resnext101_32x8d,https://download.pytorch.org/models/resnext101_32x8d-8ba56ff5.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bilinear,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv1,fc,,,resnext101_32x8d,,,,
resnext101_64x4d,,1000,"(3, 224, 224)","(7, 7)",0.875,bilinear,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv1,fc,,,resnext101_64x4d,,,,
rexnet_100,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-rexnet/rexnetv1_100-1b4dddf4.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.conv,head.fc,,,rexnet_100,,,,
